0000 00  175 ns
0000 01  185 ns
0000 02  195 ns
0003 03  205 ns
0000 04  215 ns
0005 05  225 ns
0000 06  235 ns
0007 07  245 ns
0008 08  255 ns
0009 09  265 ns
000A 0A  275 ns
000B 0B  285 ns
000C 0C  295 ns
000C 0D  305 ns
000C 0E  315 ns
000C 0F  325 ns
000C 10  335 ns
000C 11  345 ns
000C 12  355 ns
000C 13  365 ns
000C 14  375 ns
000C 15  385 ns
000C 16  395 ns
000C 17  405 ns
000C 18  415 ns
000C 19  425 ns
000C 1A  435 ns
000C 1B  445 ns
000C 1C  455 ns
000C 1D  465 ns
000C 1E  475 ns
000C 1F  485 ns
000C 20  495 ns
000C 21  505 ns
000C 22  515 ns
000C 23  525 ns
000C 24  535 ns
000C 25  545 ns
000C 26  555 ns
000C 27  565 ns
000C 28  575 ns
000C 29  585 ns
000C 2A  595 ns
000C 2B  605 ns
000C 2C  615 ns
000C 2D  625 ns
000C 2E  635 ns
000C 2F  645 ns
000C 30  655 ns
000C 31  665 ns
000C 32  675 ns
000C 33  685 ns
000C 34  695 ns
000C 35  705 ns
000C 36  715 ns
000C 37  725 ns
000C 38  735 ns
000C 39  745 ns
000C 3A  755 ns
000C 3B  765 ns
000C 3C  775 ns
000C 3D  785 ns
000C 3E  795 ns
000C 3F  805 ns
000C 40  815 ns
000C 41  825 ns
000C 42  835 ns
000C 43  845 ns
000C 44  855 ns
000C 45  865 ns
000C 46  875 ns
000C 47  885 ns
000C 48  895 ns
000C 49  905 ns
000C 4A  915 ns
000C 4B  925 ns
000C 4C  935 ns
000C 4D  945 ns
000C 4E  955 ns
000C 4F  965 ns
000C 50  975 ns
000C 51  985 ns
000C 52  995 ns
